selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
419,282409,04192024_6f_a1_r9,6,409,0.078272324804855797
420,283594,04192024_6f_a1_r9,6,1594,0.074562880785406918
421,278897,04192024_6f_a1_r9,4,897,0.092850819544238863
422,61424,04032024_6f_a2_r5,3,1424,0.089675116019414719
423,73474,04032024_6f_a2_r5,9,1474,0.093859854554504338
424,280032,04192024_6f_a1_r9,5,32,0.072176130708562769
426,118308,04162024_6f_a1_r1,5,308,0.096222231893635199
427,224023,04192024_6f_a1_r6,4,23,0.13288637262443909
429,68184,04032024_6f_a2_r5,7,184,0.098669357293385274
434,60975,04032024_6f_a2_r5,3,975,0.094482963248776752
435,108413,04162024_6f_a1_r1,0,413,0.056530844943237686
436,228464,04192024_6f_a1_r6,6,464,0.10483013504591415
437,227526,04192024_6f_a1_r6,5,1526,0.099735523794222777
440,280005,04192024_6f_a1_r9,5,5,0.06351940442430408
441,112109,04162024_6f_a1_r1,2,109,0.059266754723854037
442,109658,04162024_6f_a1_r1,0,1658,0.1186484226457455
443,233593,04192024_6f_a1_r6,8,1593,0.11616311280298938
444,182938,04192024_6f_a1_r2,10,938,0.1021116297066462
445,110225,04162024_6f_a1_r1,1,225,0.080433244209393726
447,222108,04192024_6f_a1_r6,3,108,0.15661707572779909
448,66020,04032024_6f_a2_r5,6,20,0.075527820563441483
449,280521,04192024_6f_a1_r9,5,521,0.056484843888698746
450,76684,04032024_6f_a2_r5,11,684,0.10169873055611607
451,121754,04162024_6f_a1_r1,6,1754,0.047833683406532782
452,226426,04192024_6f_a1_r6,5,426,0.12132316905720321
453,174458,04192024_6f_a1_r2,6,458,0.10413477807615468
454,177716,04192024_6f_a1_r2,7,1716,0.091436774120386588
457,274095,04192024_6f_a1_r9,2,95,0.084193280666972264
459,224001,04192024_6f_a1_r6,4,1,0.11637514414061616
462,70162,04032024_6f_a2_r5,8,162,0.093442013322851097
463,282855,04192024_6f_a1_r9,6,855,0.081377159293982121
464,231585,04192024_6f_a1_r6,7,1585,0.10454127561541002
466,282297,04192024_6f_a1_r9,6,297,0.098348040174635568
467,112319,04162024_6f_a1_r1,2,319,0.059162021331733421
468,108090,04162024_6f_a1_r1,0,90,0.063993064503156477
470,192243,04192024_6f_a1_r2,15,243,0.097344561373480146
472,90854,04032024_6f_a2_r5,18,854,0.090364353344422804
473,274218,04192024_6f_a1_r9,2,218,0.081481004015841796
474,110694,04162024_6f_a1_r1,1,694,0.06063368493205127
476,280372,04192024_6f_a1_r9,5,372,0.092455940073048859
478,64826,04032024_6f_a2_r5,5,826,0.11173339400768602
479,166331,04192024_6f_a1_r2,2,331,0.10346373387533965
480,166360,04192024_6f_a1_r2,2,360,0.088009159028431136
481,172390,04192024_6f_a1_r2,5,390,0.098839345440200829
482,64073,04032024_6f_a2_r5,5,73,0.10044833504127888
484,182370,04192024_6f_a1_r2,10,370,0.088039283267969573
486,224920,04192024_6f_a1_r6,4,920,0.11914747994288405
487,283557,04192024_6f_a1_r9,6,1557,0.1115053694556163
488,112803,04162024_6f_a1_r1,2,803,0.070214572044398391
489,54481,04032024_6f_a2_r5,0,481,0.13152058646186296
490,229512,04192024_6f_a1_r6,6,1512,0.1291993328600371
491,276009,04192024_6f_a1_r9,3,9,0.064612881086805976
492,218053,04192024_6f_a1_r6,1,53,0.13967331772183925
494,170821,04192024_6f_a1_r2,4,821,0.10684668342997491
496,88661,04032024_6f_a2_r5,17,661,0.10073745555493255
497,184123,04192024_6f_a1_r2,11,123,0.11051581777845562
498,82128,04032024_6f_a2_r5,14,128,0.080932407039111823
499,66277,04032024_6f_a2_r5,6,277,0.10129121665661041
500,232781,04192024_6f_a1_r6,8,781,0.1249163838728462
502,56774,04032024_6f_a2_r5,1,774,0.11769807892425915
504,222155,04192024_6f_a1_r6,3,155,0.10749752053237957
505,174117,04192024_6f_a1_r2,6,117,0.09231363856108292
506,70105,04032024_6f_a2_r5,8,105,0.098527895352467934
508,288809,04192024_6f_a1_r9,9,809,0.078660062179866097
509,285640,04192024_6f_a1_r9,7,1640,0.09910783156363133
510,108168,04162024_6f_a1_r1,0,168,0.092627024568035399
511,85745,04032024_6f_a2_r5,15,1745,0.11240223920180477
512,228242,04192024_6f_a1_r6,6,242,0.13162463294086382
513,172929,04192024_6f_a1_r2,5,929,0.10444995985747532
514,185992,04192024_6f_a1_r2,11,1992,0.11230070833111017
515,284954,04192024_6f_a1_r9,7,954,0.092454649899695665
516,224510,04192024_6f_a1_r6,4,510,0.12370914359408695
519,114318,04162024_6f_a1_r1,3,318,0.075817915482096168
520,183909,04192024_6f_a1_r2,10,1909,0.12006702379531065
521,224476,04192024_6f_a1_r6,4,476,0.12838103209153939
523,168254,04192024_6f_a1_r2,3,254,0.13797076492197313
524,72466,04032024_6f_a2_r5,9,466,0.09866324596269406
525,62134,04032024_6f_a2_r5,4,134,0.10380665393938938
527,114121,04162024_6f_a1_r1,3,121,0.089112028716023126
528,118982,04162024_6f_a1_r1,5,982,0.076722326401418156
530,111361,04162024_6f_a1_r1,1,1361,0.077425639062160947
531,168472,04192024_6f_a1_r2,3,472,0.10476291984968686
533,190535,04192024_6f_a1_r2,14,535,0.097324230472040849
534,56799,04032024_6f_a2_r5,1,799,0.11422476386678547
535,280214,04192024_6f_a1_r9,5,214,0.08332529767135298
537,74396,04032024_6f_a2_r5,10,396,0.11272323855446897
541,56805,04032024_6f_a2_r5,1,805,0.13744482396665325
542,70639,04032024_6f_a2_r5,8,639,0.12295145628882065
543,174446,04192024_6f_a1_r2,6,446,0.080187105909456671
544,282560,04192024_6f_a1_r9,6,560,0.07366248278018829
545,172412,04192024_6f_a1_r2,5,412,0.10930671103484353
546,71332,04032024_6f_a2_r5,8,1332,0.089783714261759365
547,58409,04032024_6f_a2_r5,2,409,0.11034321698394607
548,170085,04192024_6f_a1_r2,4,85,0.10708011078564263
