label,count,+1,0,-1,entropy,purity
AVLP122_R,5,5,0,0,-0.000000,1.000000
AVLP123_R,2,2,0,0,-0.000000,1.000000
AVLP124_R,3,3,0,0,-0.000000,1.000000
AVLP125_R,3,3,0,0,-0.000000,1.000000
AVLP126_R,5,5,0,0,-0.000000,1.000000
AVLP127_R,4,4,0,0,-0.000000,1.000000
AVLP128_R,2,2,0,0,-0.000000,1.000000
AVLP129_R,2,2,0,0,-0.000000,1.000000
AVLP130_R,2,2,0,0,-0.000000,1.000000
AVLP131_R,2,2,0,0,-0.000000,1.000000
AVLP132_R,1,1,0,0,-0.000000,1.000000
AVLP133_R,2,2,0,0,-0.000000,1.000000
AVLP134_R,3,3,0,0,-0.000000,1.000000
AVLP135_R,2,2,0,0,-0.000000,1.000000
AVLP136_R,2,2,0,0,-0.000000,1.000000
AVLP137_R,4,4,0,0,-0.000000,1.000000
AVLP138_R,2,2,0,0,-0.000000,1.000000
AVLP139_R,3,3,0,0,-0.000000,1.000000
AVLP140_R,1,1,0,0,-0.000000,1.000000
AVLP141_R,7,7,0,0,-0.000000,1.000000
AVLP142_R,2,2,0,0,-0.000000,1.000000
AVLP143_R,2,2,0,0,-0.000000,1.000000
AVLP144_R,3,3,0,0,-0.000000,1.000000
AVLP145_R,5,5,0,0,-0.000000,1.000000
AVLP146_R,2,2,0,0,-0.000000,1.000000
AVLP147_R,1,1,0,0,-0.000000,1.000000
AVLP148_R,1,1,0,0,-0.000000,1.000000
AVLP149_R,6,6,0,0,-0.000000,1.000000
AVLP150_R,1,1,0,0,-0.000000,1.000000
AVLP151_R,1,1,0,0,-0.000000,1.000000
AVLP152_R,1,1,0,0,-0.000000,1.000000
AVLP153_R,1,1,0,0,-0.000000,1.000000
AVLP154_R,1,1,0,0,-0.000000,1.000000
AVLP155_R,2,2,0,0,-0.000000,1.000000
AVLP156_R,1,1,0,0,-0.000000,1.000000
AVLP157_R,1,1,0,0,-0.000000,1.000000
AVLP158_R,1,1,0,0,-0.000000,1.000000
AVLP159_R,1,1,0,0,-0.000000,1.000000
AVLP160_R,1,1,0,0,-0.000000,1.000000
AVLP161_R,1,1,0,0,-0.000000,1.000000
AVLP162_R,1,1,0,0,-0.000000,1.000000
AVLP163_R,2,2,0,0,-0.000000,1.000000
AVLP164_R,2,2,0,0,-0.000000,1.000000
AVLP165_R,2,2,0,0,-0.000000,1.000000
AVLP166_R,5,5,0,0,-0.000000,1.000000
AVLP167_a_R,3,3,0,0,-0.000000,1.000000
AVLP167_b_R,3,3,0,0,-0.000000,1.000000
AVLP168_R,2,2,0,0,-0.000000,1.000000
AVLP169_R,1,1,0,0,-0.000000,1.000000
AVLP170_R,2,2,0,0,-0.000000,1.000000
AVLP171_R,3,3,0,0,-0.000000,1.000000
AVLP172_R,3,3,0,0,-0.000000,1.000000
AVLP173_R,2,2,0,0,-0.000000,1.000000
AVLP174_R,1,1,0,0,-0.000000,1.000000
AVLP175_R,2,2,0,0,-0.000000,1.000000
AVLP176_a_R,3,3,0,0,-0.000000,1.000000
AVLP176_b_R,2,2,0,0,-0.000000,1.000000
AVLP176_c_R,2,2,0,0,-0.000000,1.000000
AVLP176_d_R,3,3,0,0,-0.000000,1.000000
AVLP177_a_R,2,2,0,0,-0.000000,1.000000
AVLP177_b_R,2,2,0,0,-0.000000,1.000000
AVLP178_R,1,1,0,0,-0.000000,1.000000
AVLP179_R,2,2,0,0,-0.000000,1.000000
AVLP180_R,1,1,0,0,-0.000000,1.000000
AVLP181_R,3,3,0,0,-0.000000,1.000000
AVLP182_R,2,2,0,0,-0.000000,1.000000
AVLP183_R,5,5,0,0,-0.000000,1.000000
AVLP184_R,1,1,0,0,-0.000000,1.000000
AVLP185_R,1,1,0,0,-0.000000,1.000000
AVLP186_R,2,2,0,0,-0.000000,1.000000
AVLP187_R,3,3,0,0,-0.000000,1.000000
AVLP188_R,1,1,0,0,-0.000000,1.000000
AVLP189_a_R,3,3,0,0,-0.000000,1.000000
AVLP189_b_R,2,2,0,0,-0.000000,1.000000
AVLP190_R,4,4,0,0,-0.000000,1.000000
AVLP191_R,4,4,0,0,-0.000000,1.000000
AVLP192_R,2,2,0,0,-0.000000,1.000000
AVLP193_R,1,1,0,0,-0.000000,1.000000
AVLP194_a_R,2,2,0,0,-0.000000,1.000000
AVLP194_b_R,2,2,0,0,-0.000000,1.000000
AVLP194_c_R,2,2,0,0,-0.000000,1.000000
AVLP195_R,1,1,0,0,-0.000000,1.000000
AVLP196_R,1,1,0,0,-0.000000,1.000000
